c_cmax,D_SI,D_wh_SI
0.5654200860419869,1.6934530424310715e-15,1.7509026459393963e-15
0.5627817024404324,1.698610335829287e-15,1.7588345901015883e-15
0.5601433711117104,1.7249213448808773e-15,1.7833345630070617e-15
0.5575049897267751,1.7239361095475357e-15,1.7811537811100987e-15
0.5548666658050987,1.7438555795410596e-15,1.8022063585471845e-15
0.5522282903425838,1.7443493995472242e-15,1.8004623707118807e-15
0.5495899437464361,1.7498064977719448e-15,1.8053644290792137e-15
0.5469515984063985,1.752180899583903e-15,1.8063228839769827e-15
0.5443131572863233,1.7503096006585854e-15,1.801035637739553e-15
0.5416748083620727,1.7447856829795319e-15,1.7939054645040708e-15
0.5390363157682525,1.7339318454475188e-15,1.7803507911481587e-15
0.5363979163352759,1.7348604020346305e-15,1.7797868661919075e-15
0.5337596017241315,1.7203317471404983e-15,1.7640414986505727e-15
0.5311212445050189,1.7073166222551022e-15,1.7480400493478681e-15
0.5284829171558998,1.6960173737052795e-15,1.7317767304371428e-15
0.5258445607284362,1.6762759074090742e-15,1.7132251375397076e-15
0.5232063042617285,1.6653266597900376e-15,1.6986630422649724e-15
0.5205678611714146,1.6541551282200485e-15,1.6861270737307715e-15
0.5179294999476626,1.632185764637333e-15,1.6619476952641835e-15
0.5152911752434004,1.6182884499734807e-15,1.6464838799855553e-15
0.5126529079554785,1.5928481442960493e-15,1.6192577753204227e-15
0.5100145971211549,1.5836518703578053e-15,1.6077448583034589e-15
0.5073763115240544,1.5723246684873547e-15,1.5937227472395155e-15
0.5047379614229179,1.5493357179712332e-15,1.570173070315792e-15
0.5020995611223975,1.5421669761464832e-15,1.5627027159340388e-15
0.4994612601207368,1.5241655405350184e-15,1.5434016181459466e-15
0.4968228951801824,1.520031414701927e-15,1.5404394445138374e-15
0.49418451280711334,1.5149018205241613e-15,1.5328001905368652e-15
0.49154612636382716,1.4967473790050598e-15,1.5132619836338309e-15
0.48890766210868175,1.505046332166994e-15,1.5245230513518094e-15
0.4862693203197056,1.4914792352993858e-15,1.5096917145577521e-15
0.4836309674803802,1.4946443977868201e-15,1.5116920905985704e-15
0.4809927260373981,1.495591287574807e-15,1.5137092652836279e-15
